ZUF-4557, COBALT, chevrolet, 111646
HFR-9922, AGILE, chevrolet, 139922
HSK-7038, COBALT, chevrolet, 122332
TWV-2302, AGILE, chevrolet, 30582
CMO-3162, VECTRA, chevrolet, 247103
YGK-2297, ONIX, chevrolet, 202464
ETD-3865, CELTA, chevrolet, 72485
ZRW-5074, PRISMA, chevrolet, 178576
VCI-8575, PRISMA, chevrolet, 69629
SXU-6603, ONIX, chevrolet, 105977
KTO-1814, VECTRA, chevrolet, 85745
MVC-9963, CAPTIVA, chevrolet, 169770
CSJ-1871, AGILE, chevrolet, 126470
RJE-2977, CELTA, chevrolet, 184724
CTW-5772, CAPTIVA, chevrolet, 104540
GXX-6615, COBALT, chevrolet, 45731
IWI-8582, CORSA, chevrolet, 164780
SYD-8494, VECTRA, chevrolet, 38328
AQF-4721, CORSA, chevrolet, 184898
QNE-4237, AGILE, chevrolet, 205054
HQS-9039, AGILE, chevrolet, 183123
ZAV-6771, CAPTIVA, chevrolet, 32734
UYH-6711, CELTA, chevrolet, 118373
LFJ-9284, CLASSIC, chevrolet, 183033
