XZY-4170, IDEA, fiat, 74462
PQX-2791, PALIO WEEKEND, fiat, 100668
HJK-1988, MOBI, fiat, 108606
CLI-8482, UNO, fiat, 238206
PVF-6749, IDEA, fiat, 124833
SSL-3710, PALIO WEEKEND, fiat, 89204
GUB-4991, UNO, fiat, 81991
PSO-3724, MOBI, fiat, 176563
OHS-7347, PUNTO, fiat, 133344
MYO-5939, MOBI, fiat, 164315
DIE-5219, PUNTO, fiat, 168310
LCE-8111, MOBI, fiat, 79890
PUS-4424, TORO, fiat, 219409
MLV-4787, PALIO WEEKEND, fiat, 236651
OCX-7944, PUNTO, fiat, 209304
KVO-6730, STRADA, fiat, 198030
LTK-4529, SIENA, fiat, 86685
PUX-9879, STRADA, fiat, 221841
XDT-9689, IDEA, fiat, 220686
XQF-2142, PALIO WEEKEND, fiat, 48718
CVX-8830, SIENA, fiat, 101459
FZF-6058, PALIO WEEKEND, fiat, 99275
XNB-9671, IDEA, fiat, 39268
MDI-1901, IDEA, fiat, 205239
XHD-2092, PALIO WEEKEND, fiat, 92072
HPJ-1853, PALIO, fiat, 213242
YXA-6734, SIENA, fiat, 131801
