LFM-6362, LOGAN, renault, 213602
CRE-2540, DUSTER, renault, 125581
XKQ-9126, CAPTUR, renault, 115458
TDI-3756, CLIO, renault, 67490
MJU-9726, LOGAN, renault, 103875
HZN-3872, SANDERO, renault, 209735
LJC-4593, SANDERO, renault, 251133
NZA-9454, SANDERO, renault, 227406
GGJ-5152, LOGAN, renault, 148230
DCT-7114, DUSTER, renault, 212246
HAV-8986, LOGAN, renault, 23967
MKR-9718, CLIO, renault, 190060
PSO-4552, SANDERO, renault, 100508
EVU-1747, LOGAN, renault, 165683
LIG-5760, SANDERO, renault, 160067
MSL-4010, KWID, renault, 130399
LPP-2339, SANDERO, renault, 63901
